transaction_id,amount,payment_method,status,failure_reason,created_at
9f838d6a,1820,Debit Card,FAILED,Bank Timeout,2026-08-30 01:13:21
615c19aa,4005,Credit Card,FAILED,Bank Timeout,2026-08-26 11:43:21
26a35d54,7312,Credit Card,FAILED,Bank Timeout,2026-08-25 03:27:21
2f6e5cdc,820,UPI,FAILED,Insufficient Funds,2026-08-28 09:24:21
ec288b9b,6889,UPI,FAILED,Card Declined,2026-08-24 22:13:21
5d70bf41,4113,UPI,FAILED,Bank Timeout,2026-08-31 11:01:21
8d2c1ecd,6871,Net Banking,FAILED,Card Declined,2026-08-29 21:52:21
3408be62,8157,Debit Card,SUCCESS,,2026-08-25 17:05:21
ed0d525f,941,UPI,FAILED,Card Declined,2026-08-30 20:01:21
07fa9eb5,7522,Debit Card,SUCCESS,,2026-08-29 17:19:21
91a54701,1323,Net Banking,FAILED,Network Error,2026-08-28 01:41:21
1a9c1f7e,6029,UPI,FAILED,Insufficient Funds,2026-08-26 23:50:21
013d045d,4633,Credit Card,FAILED,Card Declined,2026-08-31 04:43:21
ccb4decf,6233,Debit Card,FAILED,Card Declined,2026-08-31 07:57:21
839167fe,1008,Debit Card,FAILED,Network Error,2026-08-30 01:20:21
f95da32c,4408,Debit Card,FAILED,Network Error,2026-08-29 07:25:21
df30875e,8119,Net Banking,SUCCESS,,2026-08-29 21:07:21
5c1368da,2376,Debit Card,SUCCESS,,2026-08-30 13:25:21
3224450b,9981,Credit Card,SUCCESS,,2026-08-25 05:43:21
4f08fcac,6649,UPI,SUCCESS,,2026-08-29 12:47:21
3bbae70b,1745,Debit Card,FAILED,Card Declined,2026-08-24 22:59:21
e65c0d5e,2483,Credit Card,FAILED,Bank Timeout,2026-08-27 13:45:21
0ba42da1,1629,Net Banking,FAILED,Bank Timeout,2026-08-26 05:05:21
134ce6d5,2229,UPI,SUCCESS,,2026-08-26 13:24:21
ef17a6b1,3006,UPI,FAILED,Payment Gateway Error,2026-08-28 17:11:21
c46a8c5a,9317,UPI,FAILED,Card Declined,2026-08-25 01:09:21
89719e00,4897,Net Banking,SUCCESS,,2026-08-30 19:17:21
efb8fd5e,5069,UPI,FAILED,Payment Gateway Error,2026-08-24 20:17:21
2344225e,6709,Net Banking,FAILED,Insufficient Funds,2026-08-29 17:17:21
315996f9,8488,Debit Card,FAILED,Bank Timeout,2026-08-28 14:35:21
6baab89e,5026,Credit Card,FAILED,Network Error,2026-08-29 01:02:21
aa77d8f5,7158,UPI,FAILED,Network Error,2026-08-26 08:56:21
28f1f99f,8541,UPI,SUCCESS,,2026-08-30 17:32:21
8eeef407,5320,Debit Card,FAILED,Network Error,2026-08-25 04:08:21
5cfb6435,6546,UPI,FAILED,Bank Timeout,2026-08-25 12:39:21
9fc93d3b,5919,Net Banking,SUCCESS,,2026-08-28 16:58:21
49fb74a9,5523,Net Banking,FAILED,Card Declined,2026-08-28 04:47:21
ae47a032,2458,Debit Card,FAILED,Card Declined,2026-08-28 15:26:21
f2bd90b3,9095,Net Banking,SUCCESS,,2026-08-29 13:56:21
339cc454,5353,Debit Card,FAILED,Bank Timeout,2026-08-25 17:05:21
d4253ff5,2573,Net Banking,FAILED,Network Error,2026-08-28 11:10:21
cb7802c3,2568,UPI,FAILED,Network Error,2026-08-28 13:18:21
216a123b,8190,UPI,FAILED,Network Error,2026-08-31 04:55:21
d6b2e12f,4636,UPI,FAILED,Network Error,2026-08-26 04:40:21
